"h3_id","centroid_lat","centroid_lon","pop_census_2022","pop_ambient_2022"
"89a8100e117ffff",-23.6016991292653,-46.6762141802589,1209.31688590203,221208.859485936
"89a810763c7ffff",-23.4449972956317,-46.6440472641749,0,5823.5846731861
"89a81073453ffff",-23.5593791390494,-46.4269969643681,489.208307178735,18511.7035780019
"89a8100822fffff",-23.6221114443292,-46.4655760603703,243.503670962498,39950.0057784804
"89a810052bbffff",-23.6128151990333,-46.701027036781,10.0655933027607,241727.378388407
"89a81039413ffff",-23.4940516220717,-46.7128126358641,569.909421031136,51858.6150765767
"89a81002347ffff",-23.7381511045664,-46.6501640139914,0,4037.21569241708
"89a8108d187ffff",-23.913575274776,-46.752816800608,1.98288686073513,63.9048054931579
"89a8101099bffff",-23.812023442664,-46.7008117550681,122.044253713582,5526.80187345462
"89a8100da27ffff",-23.4888361201422,-46.5933113995675,779.140026120765,49291.0646450917
"89a8102a6cfffff",-23.3946226400682,-46.7679953406978,0.077069742058359,2674.13537410686
"89a81089b23ffff",-23.9287567967587,-46.6246610464728,0.272596793390758,NA
"89a8100d337ffff",-23.5251066342504,-46.5729514687849,247.993471646811,54436.792214084
"89a81072673ffff",-23.5510376527843,-46.4757461497116,275.816997724391,56836.145826835
"89a8100744fffff",-23.6896205520782,-46.7308487120974,1.86143727563036,10907.8410890924
"89a810044dbffff",-23.6569885187161,-46.7727236583014,1112.40073038859,40099.4309315263
"89a81015aa3ffff",-23.7163017392083,-46.7500047514753,0.0256057001969799,4337.61636704077
"89a81038633ffff",-23.4856221433093,-46.7615153489969,476.39033564129,18959.0997009771
"89a8108f31bffff",-23.9521573832622,-46.7447821972682,2.24895019705646,NA
"89a81012b2fffff",-23.8361857050543,-46.7076523222548,2.66397954670996,4301.49359016773
"89a81046c87ffff",-23.6081447126909,-46.400856265249,818.538053595873,11399.9105590726
"89a8108c3a7ffff",-23.9051480672768,-46.801546210773,12.2033868507565,NA
"89a8100cc47ffff",-23.5331436086141,-46.6650074736704,1099.33514461951,180130.361787795
